#id (do not edit)                ,enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#2,#3,#4,#5,#6,#7,#8,#9,#10
default,1,,,,,,-1,-1,1,1,,-1,-1,1,1,,-1,-1,1,1,,-1,-1,1,1,,-1,-1,1,1,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_2_x1,,51,gun_2_x1,,,brandenburg_gun_76_x1,0.452,0.624,0.66,2.44,jap_tb_gun_76_x1,1.25,1.435,0.66,1.14,jap_tb_gun_76_x1,1.25,1.435,0.66,1.28,iowa_gun_127_x1,0.5,0.68,0.92,2.5,iowa_gun_127_x1,0.5,0.68,0.92,2.5,,,,,,,,,,
gun_2_x2,,51,gun_2_x2,,,maine_gun_152_x2,0.504,0.698,0.7,1.68,maine_gun_230_x2,0.46,0.586,0.7,1.54,spee_gun_150_x2,0.596,0.722,0.7,1.46,iowa_gun_127_x2,0.5,0.68,0.7,2.5,iowa_gun_127_x2,0.5,0.68,0.7,2.5,,,,,,,,,,
gun_2_x3,,51,gun_2_x3,,,maine_gun_152_x3,0.504,0.698,0.55,1.68,maine_gun_230_x3,0.46,0.586,0.55,1.54,spee_gun_150_x3,0.596,0.722,0.55,1.46,iowa_gun_127_x3,0.5,0.68,0.55,2.5,iowa_gun_127_x3,0.5,0.68,0.55,2.5,,,,,,,,,,
gun_2_x4,,51,gun_2_x4,,,iowa_gun_127_x4,0.5,0.68,0.5,2.5,iowa_gun_127_x4,0.5,0.68,0.5,2.5,iowa_gun_127_x4,0.5,0.68,0.5,2.5,iowa_gun_127_x4,0.5,0.68,0.5,2.5,iowa_gun_127_x4,0.5,0.68,0.5,2.5,,,,,,,,,,
gun_3_x1,,76,gun_3_x1,,,brandenburg_gun_76_x1,0.634,0.806,1,2.2,jap_tb_gun_76_x1,1.445,1.63,1,1.26,jap_tb_gun_76_x1,1.445,1.63,1,1.4,iowa_gun_127_x1,0.7,0.88,1.45,2.24,iowa_gun_127_x1,0.7,0.88,1.45,2.24,,,,,,,,,,
gun_3_x2,,76,gun_3_x2,,,maine_gun_152_x2,0.718,0.912,1.08,1.5,maine_gun_230_x2,0.596,0.722,1.08,1.5,spee_gun_150_x2,0.732,0.858,1.08,1.5,iowa_gun_127_x2,0.7,0.88,1.08,2.24,iowa_gun_127_x2,0.7,0.88,1.08,2.24,,,,,,,,,,
gun_3_x3,,76,gun_3_x3,,,maine_gun_152_x3,0.718,0.912,0.83,1.5,maine_gun_230_x3,0.596,0.722,0.83,1.5,spee_gun_150_x3,0.732,0.858,0.83,1.5,iowa_gun_127_x3,0.7,0.88,0.83,2.24,iowa_gun_127_x3,0.7,0.88,0.83,2.24,,,,,,,,,,
gun_3_x4,,76,gun_3_x4,,,iowa_gun_127_x4,0.7,0.88,0.74,2.24,iowa_gun_127_x4,0.7,0.88,0.74,2.24,iowa_gun_127_x4,0.7,0.88,0.74,2.24,iowa_gun_127_x4,0.7,0.88,0.74,2.24,iowa_gun_127_x4,0.7,0.88,0.74,2.24,,,,,,,,,,
gun_4_x1,,102,gun_4_x1,,,brandenburg_gun_76_x1,0.816,0.988,1.1,1.9,jap_tb_gun_76_x1,1.64,1.825,1.1,1.22,jap_tb_gun_76_x1,1.64,1.825,1.1,1.36,dd_s_gun_b_102_x1,1.054,1.1895,1.1,1.48,dd_s_gun_b_102_x1,1.054,1.1895,1.1,1.64,,,,,,,,,,
gun_4_x2,,102,gun_4_x2,,,maine_gun_152_x2,0.932,1.126,1.28,1.26,maine_gun_230_x2,0.732,0.858,1.28,1.34,spee_gun_150_x2,0.868,0.994,1.28,1.4,pola_gun_100_x2,0.868,0.994,1.28,1.86,atl_gun_125_x2,0.868,0.994,1.28,1.38,,,,,,,,,,
gun_4_x3,,102,gun_4_x3,,,maine_gun_152_x3,0.932,1.126,1,1.26,maine_gun_230_x3,0.732,0.858,1,1.34,spee_gun_150_x3,0.868,0.994,1,1.4,pola_gun_100_x3,0.868,0.994,1,1.86,atl_gun_125_x3,0.868,0.994,1,1.38,,,,,,,,,,
gun_4_x4,,102,gun_4_x4,,,pola_gun_100_x4,0.868,0.994,0.85,1.86,pola_gun_100_x4,0.868,0.994,0.85,1.86,pola_gun_100_x4,0.868,0.994,0.85,1.86,pola_gun_100_x4,0.868,0.994,0.85,1.86,atl_gun_125_x4,0.868,0.994,0.85,1.38,,,,,,,,,,
