@name,britain,france,germany,usa,russia,italy,austria,japan,spain,china,portugal,netherlands,ottoman,brazil,argentina,chile,greece,belgium,denmark,norway,sweden,korea
britain,,20;30;80;80;80;100,-35;-65;75;-5;15;100,25;25;25;25;25;50,10;20;30;-10;-15;-20,5;10;15;5;-40;-100,-25;-55;-75;-5;-15;-75,30;40;50;10;-55;-70,5;5;5;5;5;5,5;5;5;5;5;5,10;20;60;30;20;10,10;10;10;10;50;100,-10;-10;-10;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,10;10;10;10;10;80,10;10;10;10;10;80,10;10;10;10;10;80,10;10;10;10;10;80,10;10;10;10;10;80,5;5;5;5;5;5
france,,,-20;-40;-80;-5;-20;-100,10;10;10;10;10;10,15;25;35;15;10;5,5;10;15;-5;-25;-100,-10;-70;-75;-5;-20;-50,5;15;35;-5;-25;-75,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,10;10;10;10;50;100,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,10;10;10;10;10;80,10;10;10;10;10;80,10;10;10;10;10;80,10;10;10;10;10;80,5;5;5;5;5;5
germany,,,,5;5;-5;-5;-5;-5,5;5;-45;5;10;5,30;20;5;5;15;100,40;50;55;20;50;60,5;-5;-25;5;25;40,5;5;5;15;15;25,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;-50,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;-100,0;5;5;5;5;-100,5;5;5;5;5;-100,0;5;5;5;5;-100,5;5;5;5;5;-100,5;5;5;5;5;5
usa,,,,,15;10;10;-15;-25;-35,5;5;5;-5;-5;-25,10;5;5;5;5;5,10;20;30;-15;-40;-85,-75;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;10;10,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,10;10;10;10;10;80,10;10;10;10;10;80,10;10;10;10;10;80,5;5;5;5;5;5
russia,,,,,,15;10;5;15;25;35,-35;-55;-55;-15;-15;-35,-35;-95;-5;-5;-25;-25,5;5;5;5;5;5,-5;-5;-5;-5;-5;-5,5;5;5;5;5;5,5;5;5;5;5;5,-50;-40;-30;-20;-10;-10,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5
italy,,,,,,,35;25;5;15;5;5,15;25;35;-5;5;10,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;-100,10;20;30;-10;-15;-20,10;20;30;-10;-15;-20,10;20;30;-10;-15;-20,10;20;30;-10;-15;-20,10;20;30;-10;-15;-20,10;20;30;-10;-15;-20,10;20;30;-10;-15;-20,10;20;30;-10;-15;-20,5;5;5;5;5;5
austria,,,,,,,,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,-20;-10;20;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,10;20;30;-10;-15;-20,10;20;30;-10;-15;-20,10;20;30;-10;-15;-20,10;20;30;-10;-15;-20,5;5;5;5;5;5
japan,,,,,,,,,5;5;5;5;5;5,-75;-5;-5;-5;-65;-100,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,-10;-10;-20;-30;-40;-50
spain,,,,,,,,,,5;5;5;5;5;5,-30;-30;-30;-30;-30;-30,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5
china,,,,,,,,,,,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,5;5;5;5;5;5,0;10;10;-10;-10;-10
